fecha_estandar,iva_tendencia,iva_estacional,iva_residuo,pib_tendencia,pib_estacional,pib_residuo
2000-01-01,,2831052.102447535,,,-2942724305.5555573,
2000-02-01,,-2238579.2317563733,,,-2441215972.2222233,
2000-03-01,,-705508.1765265567,,,-1360777083.333335,
2000-04-01,,1633777.2000630703,,,-859640972.2222232,
2000-05-01,,1662445.4948606137,,,-940413194.4444455,
2000-06-01,,1097396.7859525331,,,-397407638.8888886,
2000-07-01,1627858.7005880415,48928.541928894476,15222.499976064188,8327466666.666666,-55379861.111112036,47913194.444446005
2000-08-01,1666772.3478471665,-1731673.04140598,1578324.4664308135,8315550000.0,1194118750.0000002,-669668750.0000002
2000-09-01,1705722.1066612913,2010386.4330805237,-1899998.272389815,8303083333.333334,1124513194.4444444,-587596527.7777784
2000-10-01,1758071.9823198747,-2486405.744737287,2065729.1559814124,8290066666.666667,-61729861.111110255,171663194.44444424
2000-11-01,1808651.941524875,347880.96014248225,-331088.2024763582,8276866666.666666,1281836805.5555573,-598703472.2222214
2000-12-01,1858242.2257008331,-2469701.3240494556,1911795.2555976224,8263466666.666666,5458820138.888893,-3082286805.5555573
2001-01-01,1909164.5723934998,2831052.102447535,-2453314.0326200356,8249733333.333333,-2942724305.5555573,1592190972.2222242
2001-02-01,1946023.8968787496,-2238579.2317563733,2164459.517701624,8235433333.333334,-2441215972.2222233,1320582638.8888893
2001-03-01,1975044.7290569087,-705508.1765265567,811326.838947648,8220700000.0,-1360777083.333335,686077083.333334
2001-04-01,2002643.9588112347,1633777.2000630703,-1197075.792091305,8206333333.333333,-859640972.2222232,414907638.88889015
2001-05-01,2034158.7316636515,1662445.4948606137,-1573308.5826432651,8191866666.666666,-940413194.4444455,510146527.77777946
2001-06-01,2061123.5457620681,1097396.7859525331,-769953.2404666012,8175533333.333332,-397407638.8888886,218674305.5555575
2001-07-01,2083815.7154384013,48928.541928894476,28018.520257704302,8166666666.666666,-55379861.111112036,42313194.444446005
